Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Cause,Human Review
10/3/1978,,"Near Mandalay, Myanmar",Burma Airways,,,Fokker F-27 Friendship 600,XY-ADY,10572,44.0,2.0,0.0,Lost both engines on climbout and made an emergency landing on a sandbank of the Irrawaddy River.,"mechanical, cfit","mechanical, cfit"
2/4/1970,,"Near Corrientes, Argentina",Aerolineas Argentinas,,Corrientes - Rosario,Hawker Siddeley HS-748 1,LV-HGW,1539,37.0,37.0,0.0,Crashed in a storm 8 minutes after taking off. Went into a dive and crashed at a high rate of speed into the ground. Severe turbulence and adverse weather conditions.,weather,weather
7/25/1981,,"Caruru, Colombia",Transamazonica,,,Douglas C-53D-DO,HK- 772,11743,9.0,4.0,0.0,The aircraft crashed short of the runway while attempting to land after a severe vibration required the crew to shut down the engine and feather the propeller.,mechanical,mechanical
5/22/1968,16:51,"Paramount, California",Los Angeles Airways,841,Anaheim - LAX,Sikorsky S-61L helicopter,N303Y,,23.0,23.0,0.0,The helicopter suddenly descended to the ground with an erratiaction of the main rotor blades and burst into flames. A faulty main rotor blade damper caused one of the rotor blades to detach for reasons undetermined and strike the fuselage.,fire,"fire, mechanical"
6/5/1972,,"Near Pleiku, Vietnam",Air America,,Siagon - Hue-Phu Bai - Pleiku,Curtiss C-46A,EM2,30460,32.0,32.0,0.0,Crashed on approach.,unknown,unknown
12/8/1950,,"Bangui, French Equatorial Africa",T.A. Intercontinentaux,,,Douglas C-54A,F-BELB,3084,56.0,46.0,0.0,Crashed into a mountain in the Pyrenees 5 minutes after takeoff. Crew error. Excessive low rate of climb at night in an unknown region and premature change of heading.,"cfit, pilot_error","cfit, pilot_error"
12/22/1950,13:53,"Penticton, British Columbia, Canada",Canadian PacifiAir Lines,4,Vancouver - Penticton,Douglas DC-3,CF-CUF,12855,18.0,2.0,0.0,Struck trees on  Mt. Okanagan while making an approach to Penticton. Drifted below the minimum altitude permissible.,cfit,cfit
11/14/1988,7:14,"Ilmajoki, Finland",Wasa Wings,,Helsink - Ilmajoki,Embraer 110P1 Bandeirante,OH-EBA,110226,12.0,6.0,0.0,"The aircraft struck trees2,400 feet next to the runway while approaching in deteriorating weather conditions. A power failure caused all light to go out at the airport.","mechanical, weather, cfit","mechanical, weather, cfit"
7/28/1992,,"Iguape, Brazil",Crasa - Air Taxi,,"Curitiba, PR - Rio de Janeiro",Learjet 25C,PT-LHU,25-099,6.0,6.0,0.0,"While en route, the aircraft went into a steep dive and crashed to the ground.",unknown,unknown
6/10/1929,,"Santiago de Cuba, Cuba",Pan American Airways,,Santiago de Cuba - Havana,Fokker F-X,NC9700,,5.0,2.0,0.0,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.,unknown,cfit
6/20/1991,3:45,"Near Malambo, Colombia",Aerosucre Colombia,,Bogota - Malambo,Douglas DC-6BF,HK-3511,45132/801,18.0,2.0,0.0,Following several attempts to land the pilot decided to hold until weather conditions improved.  Contact was lost with the plane and it flew into the ground. Visibility was reduced by low lying fog.,weather,"weather, cfit"
5/17/1986,23:30,"AtlantiCity, New Jersey",Air Taxi - Islip Airco Inc.,,"AtlantiCity, NJ - AtlantiCity, NJ",Cessna 414A,N414NY,414A0242,5.0,2.0,0.0,During takeoff the pilot was not able to pull back the control wheel more than 2 inches. He aborted the takeoff late and was not able to stop the plane before it ran off the runway and collided with a car. Delayed aborted takeoff. Restricted elevator control movement.,"mechanical, collision","mechanical, collision"
2/21/1946,,"Charlottetown, PE, Canada",British Overseas Airways,,,Consolidated 32-2 Liberator II,G-AGEM,26,14.0,1.0,0.0,Crashed while attempting to land. Icing.,mechanical,mechanical
8/17/1963,,"Hachijo-Jima Island, Japan",Fujita Koku Kabushki Kai,,,de Havilland DH-114 Heron,JA6155,14026,19.0,19.0,0.0,Crashed into mountains shortly after taking off from Hachijo. Cause unknown.,cfit,undetermined
9/1/2008,12:10,"Columbus, Ohio",Air Tahoma,,Colombus - Mansfield,Convair CV-580,N587X,361,3.0,3.0,0.0,"Soon after taking off the pilot radioed he was returning to the airport but the aircraft crashed into a corn field, broke up and burned.",fire,fire
6/17/1995,,"Near Cuvela, Angola",Military - Angolan Air Force,,Ondjiva - Catumbela,CASA 212-200 Aviocar,T401,A53-2-326,48.0,48.0,0.0,"The aircraft, carrying members of a local soccer club crashed 10 miles short of it's destination. Adverse weather conditions and overloaded.","weather, pilot_error","weather, pilot_error"
6/30/1961,20:57,"Buenos Aires, Argentina",Transcontinental,,Salta - Cordoba - Buenos Aires,Curtiss C-46A,LV-FTO,193,35.0,24.0,0.0,Crashed into a trees and telegraph poles on final approach.The pilot failed to follow the instrument approach procedures during the approach.,"mechanical, cfit, pilot_error","cfit, pilot_error"
5/6/2004,15:00,"Jiech, Sudan",Charter - Air Cush,,Jiech - Ayod,Let 410UVP,9XR-DC,,10.0,6.0,0.0,"The plane crashed just seconds after taking off. It was on a mission of delivering humanitarian aid in Sudan. The cargo shifted after takeoff, causing the cg to change and the plane to stall and crash.",pilot_error,pilot_error
12/25/1967,13:49,"Chiang Mai, Thailand",Thai Airways,2,Bangkok - Chiang Mai,Douglas DC-3,HS-TDH,9189,31.0,4.0,0.0,"During poor weather and after a flyby, the pilot requested a Runway 18 approach. The pilot decided to make a visual approach along the middle of 3 diverging roads, which was aligned with the runway. Because of the fog, the pilot began his approach along the third road which extended to the Royal Thai Air Force fuel storage instead of Runway 18. When the aircraft got close to the ground, the pilot realized that he was approaching the wrong road. He tried to initiate a go-around but the aircraft became unstable as he raised the nose slipped to the left and stalled the plane. The No.1 engine hit the ground first, 200 meters from the airport.","mechanical, weather, pilot_error","weather, pilot_error"
8/13/1940,10:15,"Near Canberra, Australia",Military - Royal Australian Air Force,,Melbourne - Canberra,Lockheed Hudson A16-97,,,10.0,10.0,0.0,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classisymptoms of a stall, too close to the ground for recovery.","fire, mechanical, pilot_error","fire, pilot_error"
1/28/1966,17:50,"Bremen, Germany",Lufthansa,5,Frankfurt - Bremen,Convair CV-440-0,D-ACAT,464,46.0,46.0,0.0,Crashed on approach in heavy fog. The aircraft stalled while making a turn at low altitude. Instrument malfunction.,"weather, pilot_error","weather, mechanical, pilot_error"
1/4/2002,12:07,"Birmingham, England",Agco Corp,,"Birmingham, England - Bangor, MA",Canadair CL-604,N90AG,5414,5.0,5.0,0.0,"After taking off, banked to the left, wing contacted ground, a fire erupted and the aircraft broke up. Failure of the crew to de-ice the wings before takeoff. Possible impairment of crew performance by the combined effects of a non-prescription drug, jet-lag and fatigue were also considered factors.","fire, mechanical, weather","fire, mechanical, weather, pilot_error"
